,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
221,1995-03-21,TATAMOTORS,444,460,441.5,454.5,451,7500,3368475,449.13,,0.7760532151,466.0525,479.256
170,1995-03-22,TATAMOTORS,455,459,450,450,454.5,250,113400,453.6,,-0.9900990099,464.8025,478.356
222,1995-03-22,TATAMOTORS,455,459,450,450,454.5,250,113400,453.6,,-0.9900990099,464.0975,477.556
171,1995-03-23,TATAMOTORS,455,455,445,447.1,450,950,427322.5,449.81,,-0.6444444444,464.1975,476.898
172,1995-03-24,TATAMOTORS,445,445,442,444.95,447.1,950,422445,444.68,,-0.4808767614,462.745,476.197
173,1995-03-27,TATAMOTORS,450,450,431,431.5,444.95,450,197400,438.67,,-3.022811552,460.82,475.427
174,1995-03-28,TATAMOTORS,474,474,430,430.4,431.5,5300,2314982.5,436.79,,-0.2549246813,459.1725,474.376
175,1995-03-29,TATAMOTORS,445,445,425,425.5,430.4,3800,1641127.5,431.88,,-1.138475836,456.4475,473.346
176,1995-03-30,TATAMOTORS,430,436,427.5,430,425.5,2000,857550,428.78,,1.057579318,453.8725,472.426
177,1995-03-31,TATAMOTORS,427.25,430,425,428,430,7150,3045325,425.92,,-0.4651162791,451.0225,471.386
178,1995-04-03,TATAMOTORS,434,435,425,435,428,800,345065,431.33,,1.635514019,448.8225,470.446
179,1995-04-04,TATAMOTORS,435,460,435,452.55,435,2450,1104030,450.62,,4.034482759,447.575,470.447
180,1995-04-05,TATAMOTORS,465,475,465,472,452.55,2800,1317835,470.66,,4.297867639,447.675,470.537
181,1995-04-06,TATAMOTORS,474,489,470,483.75,472,3050,1469477.5,481.8,,2.48940678,448.6125,470.612
182,1995-04-07,TATAMOTORS,475,490,475,483.5,483.75,46700,22686767.5,485.8,,-0.05167958656,449.5375,470.582
183,1995-04-10,TATAMOTORS,490,490,475,480,483.5,158250,77085052.5,487.11,,-0.7238883144,450.9875,470.242
184,1995-04-11,TATAMOTORS,479,486,475,484.3,480,83600,40450042.5,483.85,,0.8958333333,452.2025,469.778
185,1995-04-12,TATAMOTORS,476.25,510,476.25,500.05,484.3,3400,1675425,492.77,,3.252116457,454.455,469.679
186,1995-04-17,TATAMOTORS,499,502.5,490,491,500.05,2200,1086250,493.75,,-1.809819018,456.255,469.309
187,1995-04-18,TATAMOTORS,490,492,475.1,476.95,491,13400,6548575,488.7,,-2.861507128,457.5525,468.648
188,1995-04-19,TATAMOTORS,482,502.5,475,495,476.95,11100,5508732.5,496.28,,3.78446378,459.5775,468.548
189,1995-04-20,TATAMOTORS,495,510,488,490.5,495,54700,26951020,492.71,,-0.9090909091,461.6025,468.318
190,1995-04-21,TATAMOTORS,493,500,485.25,495.25,490.5,15800,7816405,494.71,,0.9683995923,463.865,468.273
191,1995-04-24,TATAMOTORS,492,497.45,482,483.25,495.25,30150,14862775,492.96,,-2.423018677,465.6725,467.858
192,1995-04-25,TATAMOTORS,480,480,462.5,464.65,483.25,19050,8942172.5,469.41,,-3.848939472,466.6575,467.311
193,1995-04-26,TATAMOTORS,470,470,460,467,464.65,3450,1611670,467.15,,0.5057570214,468.4325,466.811
